Tm_ServiceCode; Title
10112; Договор аренды земельного участка для размещения и эксплуатации объектов, не являющихся объектами капитального строительства, а также для целей, не связанных со строительством (реконструкцией) и экспл
10113; Дополнительное соглашение о внесении изменений в договор аренды, если такие изменения предусматривают проектирование и строительство (реконструкцию) объектов капитального строительства на земельном уч
10114; Дополнительное соглашение о внесении изменений в договор аренды, если такие изменения не предусматривают проектирование и строительство (реконструкцию) объектов капитального строительства на земельном
10115; Дополнительное соглашение о внесении иных изменений в договор аренды (не требуется издание правового акта)
10117; Договор безвозмездного срочного пользования для строительства объектов за счет средств бюджета города Москвы и все дополнительные соглашения к договору
10118; Распоряжение Департамента земельных ресурсов города Москвы о предоставлении земельного участка на праве постоянного (бессрочного) пользования (за исключением случаев проектирования и строительства (ре
10119; Распоряжение Департамента земельных ресурсов города Москвы об утверждении схемы расположения земельного участка на кадастровой карте (плане) территории
10120; Договор купли-продажи земельного участка и все дополнительные соглашения к договору
10121; Правовой акт Департамента земельных ресурсов города Москвы о предоставлении земельного участка
10122; Акт приема-передачи земельного участка
10123; Распоряжение об изменении адресного ориентира и/или разрешенного использования земельного участка
10124; Распоряжение о прекращении права постоянного (бессрочного) пользования или пожизненного наследуемого владения земельным участком ввиду отказа от права
10125; Решение о предоставлении согласия на совершение сделки с правом аренды земельного участка
10126; Распоряжение Департамента о снятии запрета на строительство
10127; Распоряжение Департамента об изменении цели предоставления и (или) вида разрешенного использования земельного участка
10128; Заключение государственной экспертизы по проведению проверки достоверности определения сметной стоимости объекта
10131; Кадастровый паспорт помещения
10132; Справка о регистрации адреса объекта строительства (реконструкции)
10133; Справка о регистрации адреса объекта домовладения, здания (строения, сооружения)
10134; Справка об идентификации адреса объекта (здания, строения, сооружения), не зарегистрированного в Адресном Реестре
10135; Справка об идентификации адреса объекта (здания, строения, сооружения), зарегистрированного в Адресном Реестре
10136; Решение о согласовании переустройства и (или) перепланировки помещения в многоквартирном доме
10137; Акт о завершенном переустройстве и (или) перепланировке помещения в многоквартирном доме
10138; Лицензия на розничную продажу алкогольной продукции
10139; Согласование на размещение сезонного (летнего) кафе при стационарном предприятии общественного питания
10140; Распорядительный документ Правительства Москвы об утверждении проекта планировки
10142; Порубочный билет на санитарные рубки и реконструкцию зеленых насаждений
10143; Порубочный билет на объектах строительства, реконструкции и капитального ремонта
10145; Акт пометки зеленых насаждений
10146; Перечетная ведомость
10147; Справка об оплате жилого помещения, коммунальных и прочих услуг в разрезе отдельных видов услуг за период
10148; Договор аренды земельного участка, заключаемый с правообладателями зданий, строений, сооружений, расположенных на участке и все дополнительные соглашения к договору
10149; Кадастровый паспорт земельного участка
1014900; тест_Кадастровый паспорт земельного участка
10150; Санитарно-эпидемиологическое заключение о соответствии (несоответствии) проектной документации требованиям государственных санитарно-эпидемиологических правил и нормативов
10151; Санитарно-эпидемиологическое заключение специально уполномоченного государственного органа о соответствии заявленного вида деятельности (работ, услуг) государственным санитарно-эпидемиологическим прав
10152; Выписка из Единого государственного реестра прав на недвижимое имущество и сделок с ним о правах отдельного лица на имеющиеся у него объекты недвижимого имущества
1015200; тест_Выписка из единого государственного реестра прав на недвижимое имущество и сделок с ним о правах отдельного лица на имеющиеся у него объекты недвижимого имущества
10153; Свидетельство о государственной регистрации физического лица в качестве индивидуального предпринимателя
10154; Распоряжение органа исполнительной власти о предоставлении компенсации либо об отказе в предоставлении компенсации за наём жилого помещения на рынке недвижимости
10155; Договор передачи жилого помещения в собственность в порядке приватизации
10156; Свидетельство о предоставлении субсидии для приобретения или строительства жилых помещений
10157; Именной государственный жилищный сертификат
10158; Технический паспорт жилого помещения (квартиры)
10159; Решение органа местного самоуправления о переводе жилого помещения в нежилое, нежилого в жилое
10160; Договор купли-продажи свободного жилого помещения в коммунальной квартире находящегося, находящейся в собственности города Москвы (для жителей коммунальных квартир)
10161; Пропуск, разрешающий въезд и передвижение грузового автотранспорта в зонах запрета его движения (разовый)
10162; Пропуск, разрешающий въезд и передвижение грузового автотранспорта в зонах запрета его движения (сроком действия не более одного года)
10185; Справка о получении пособия в Департаменте труда и занятости населения
10186; Сведения из реестра о безработных гражданах
10188; Предложение государственного учреждения службы занятости населения о назначении пенсии на период до наступления возраста, дающего право на трудовую пенсию по старости, в том числе на досрочную пенсию
10189; Сведения о водных объектах из Государственного водного реестра
10190; Выписка из российского регистра гидротехнических сооружений
10191; Запрос на получение данных лицевого счета застрахованного лица по страховому номеру индивидуального лицевого счета
10192; Справка об общей продолжительности службы, выдаваемая МЧС
10193; Выписка из реестра выданных заключений государственной экспертизы проектной документации и результатов инженерных изысканий
10194; Заключение о привлечении и об использовании иностранных работников
10196; Свидетельство о государственной аккредитации в сфере образования и науки
10197; Лицензия на право ведения образовательной деятельности
10198; Лицензия на осуществление медицинской деятельности
10199; Регистрационное удостоверение на изделия медицинского назначения
10200; Сведения об ИНН физического лица на основании полных паспортных данных
10201; Свидетельство о постановке на учет российской организации в налоговом органе по месту ее нахождения
10202; Технические условия на присоединение к системам водоснабжения и канализации
10203; Договор (государственный контракт) на отпуск воды и прием сточных вод в городскую канализацию
10204; Договор на оказание услуг по присоединению и санитарной обработке прокладываемого трубопровода
10205; Акт о присоединении, фиксирующий техническую готовность к подаче ресурсов
10206; Ордер на производство земляных работ, обустройство и содержание строительных площадок в городе Москве
10207; Проверка действительности паспорта
10208; Проверка действительности паспорта (расширенная)
10209; Запрос паспортного досье по СНИЛС
10210; Запрос паспортного досье по установочным данным
10211; Получение регистрации по месту жительства
10212; Получение регистрации по месту пребывания
10213; Проверка действительности регистрации по месту жительства
10214; Проверка действительности регистрации по месту пребывания
10215; Проверка регистрации ИГ по месту жительства
10216; Проверка регистрации ИГ по месту пребывания
10217; Проверка разрешения на временное проживание или вида на жительство
10218; Проверка разрешения на работу ИГ или ЛБГ
10219; Запрос сведений о получении государственной поддержки вынужденным переселенцем
10220; Свидетельство о государственной аккредитации в сфере строительства
10221; Заключение негосударственной экспертизы проектной документации и результатов инженерных изысканий
10222; Заключение государственной экологической экспертизы проектной документации и результатов инженерных изысканий
10223; Разрешение на отклонение от предельных параметров разрешенного строительства, реконструкции
10224; Схема планировочной организации земельного участка
10225; Проект организации строительства
10226; Акт об устранении замечаний
10227; Страховой полис страхования гражданской ответственности владельца
10228; План расположения энергопринимающего устройства
10229; Акт об осуществлении технологического присоединения
10230; Акт разграничения балансовой принадлежности и эксплуатационной ответственности
10231; Заключение органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества
10232; Документ, подтверждающий установленное разрешенное использование земельного участка
10233; Задание на выполнение инженерных изысканий
10234; Результаты инженерных изысканий
10235; Специальные технические условия
10236; Запрос на получение сведений об отсутствии/наличии задолженности по страховым взносам и иным платежам для физических лиц
10237; Запрос на получение сведений об отсутствии/наличии задолженности по страховым взносам и иным платежам для юридических лиц
10238; Запрос на получение сведений о страховом стаже застрахованного лица
10239; Запрос на получение сведений о размере социальных выплат застрахованного лица за период (без учета пенсии)
10240; Запрос на получение сведений о размере социальных выплат застрахованного лица на дату (без учета пенсии)
10241; Запрос на получение сведений о размере пенсии застрахованного лица за период
10242; Запрос на получение сведений о размере пенсии застрахованного лица на дату
10243; Сведения о размере социальных выплат застрахованного лица за период (включая пенсию)
10244; Запрос на получение сведений о соответствии указанных данных фамильно-именной группы и СНИЛС
10245; Декларация по налогу на доходы физических лиц по форме 3-НДФЛ
10246; Передача запроса на получение сведений о сумме фактически уплаченных юридическим лицом налогов за текущий финансовый год в бюджеты всех уровней
10248; Электронный сервис предоставления сведений о размере выплат пенсионерам, состоящим на учете в отделе пенсионного обслуживания ФСКН
10249; Электронный сервис предоставления сведений о прекращении пенсии
10250; Электронный сервис предоставления СПД для выплаты пенсии за границу
10251; Электронный сервис предоставления сведений о периодах прохождения военной и иной службы, учтенных при назначении пенсии
10252; Электронный сервис предоставления сведений о периодах прохождения военной и приравненной к ней службы
10253; Решение о предоставлении водного объекта регионального значения в пользование
10254; Запрос на получение сведений о размере получаемой пенсии и других выплат
10255; Предоставление сведений об отсутствии регистрации и о неполучении пособия
10256; Паспорт аттракциона
10257; Ранее выданный талон (допуск) на ежегодную (сезонную) эксплуатацию аттракциона
10258; Приказ об организации внутреннего контроля
10259; Приказ о назначении аттестованных ответственных лиц и персонала по эксплуатации и обслуживанию аттракциона
10260; Заключение специализированной организации о возможности продления срока эксплуатации (для аттракционов, отработавших нормативный срок службы)
10261; Акт обследования технического состояния аттракциона
10262; Сертификат соответствия на аттракцион
10263; Заключение специализированной организации о техническом состоянии аттракциона
10264; Акт о приемке аттракциона после завершения монтажа
10265; Акт специализированной организации о замере сопротивления изоляции и протокол измерения сопротивления заземлительного контура
10266; Акт специализированной организации об устройстве основания (фундамента) под установку аттракциона или об устройстве пути
10267; Руководство по эксплуатации
10268; Акт утилизации аттракциона
10269; Водительское удостоверение
10270; Удостоверение тракториста-машиниста
10271; Перевод гражданского паспорта на русский язык
10272; Паспорт самоходной машины
10273; Государственная таможенная декларация
10274; Договор комиссии
10275; Страховой полис
10276; Транзитный государственный регистрационный знак
10277; Акт приёма-передачи на приобретённый номерной агрегат
10278; Договор о залоге с приложением согласованного перечня самоходной техники, передаваемой в залог
10279; Акт приема-передачи самоходной техники
10280; Государственный регистрационный знак
10281; Договор финансовой аренды (лизинга)
10282; Акт о списании самоходной техники
10283; Акт изъятия самоходной техники
10284; Уведомление лизингодателя к лизингополучателю о невыполнении своих обязательств
10285; Список архивных документов
10286; Временное удостоверение
10287; Временное разрешение
10288; Документ о прохождении обучения
10289; Индивидуальная (личная) карточка
10290; Сведения о зeмельном участке
10291; Сведения о частях земельного участка
10292; Сведения о кадастровой стоимости и базовых платежах
10293; Сведения об ограничениях (обременениях) вещных прав
10294; тест_Исполнительный документ
10295; Выписка из распоряжения органа исполнительной власти о предоставлении жилого помещения
10296; Запрос на наличие самоходной техники у Физического Лица
10297; Запрос сведений о получении пенсии на месяц установления доплаты
10298; Запрос сведений о прекращении выплаты
10299; Запрос сведений о назначенной пенсии
103; Жилищные документы (свидетельствующие о жилищной обеспеченности заявителей...)
10300; Запрос сведений из лицензии по перевозкам пассажиров автомобильным транспортом, оборудованным для перевозок более восьми человек
10301; Документ, подтверждающий право застройщика (заказчика) на использование типовой проектной документации
10302; Тест_Запрос по форме Банка
10303; Тест_Запрос по форме ПГУ
10304; Запрос реестра ИП по должнику
10305; Выписка из реестра объектов культурного наследия
10306; Предоставления сведений о наличии судимости
10307; тест_Единый жилищный документ
10308; Предоставления сведений о непогашенной судимости
10309; Предоставления сведений о нахождении в розыске
10310; Представление сведений о реабилитации репрессированного лица
10311; Представление сведений о факте смерти необоснованно репрессированного и впоследствии реабилитированного
10312; Документ - основание выдачи правоустанавливающего документа на земельный участок
10313; Договор на осуществление авторского права
10314; Договор на производство работ
10315; Журнал производства работ
10316; Договор купли-продажи
10317; Описание местоположения границ земельного участка
10318; Решение общего собрания о приобритении земельного участка
10319; Заключение о соответствии местоположения и площади земельного участка
10320; Решение суда о наличии или лишении (отсутствии) жилищных или имущественных прав
10321; Договор возмездного оказания услуг
10322; Охранно-арендный договор
10323; Охранный договор
10324; Охранное обязательство
10325; Счет-фактура
10326; Замечания
10327; Расчет платы
10328; Протокол соглашения о размере платы
10329; Заключение экспертной комиссии государственной экологической экспертизы
10330; Схема транспортного средства
10331; Сведения о технических требованиях к перевозке заявленного груза в транспортном положении
10332; Путевой лист
10333; Товарно-транспортная накладная
10334; Маршрут перевозки
10335; Договор или свидетельство о праве собственности, подтверждающего наличие мест стоянки для хранения грузового ТС
10336; Разрешение на перевозку опасных грузов
10337; Талон государственного технического осмотра
10338; Ордер на производство работ
10339; Комплексный запрос планов этажей здания (строения)
10340; Запрос сведений о количестве представленных справок о доходах физических лиц по форме 2-НДФЛ по физическому лицу
10341; Запрос сведений о количестве представленных справок о доходах физических лиц по форме 2-НДФЛ по юридическому лицу
10342; Колористическое решение фасадов зданий, строений, сооружений в городе Москве
10343; Сведения о гибели сотрудника ФПС ГПС МЧС России при исполнении служебных обязанностей
10344; Акт о пожаре
10345; Выписки из списка пострадавших лиц, из списка эвакуированных лиц, выписки из иных документов
10346; Запрос заключения, подтверждающего соответствие зданий, строений, сооружений и помещений, заявленных соискателем лицензии для ведения образовательной деятельности, обязательным требованиям пожарной
10347; Постановление СПИ
10348; Запрос СПИ
10349; Запрос сведений из справки о наличии или отсутствии права на льготное обеспечение санаторно-курортным лечением по линии ФСИН России
10350; Запрос сведений о прекращении выплаты пенсии по линии ведомства
10351; Запрос сведений о периодах службы, предшествовавших назначению пенсии по инвалидности, либо о периодах службы, работы и иной деятельности, учтенных при определении размера пенсии за выслугу лет
10352; Запрос сведений о периоде проживания супругов военнослужащих
10353; Запрос сведений о периодах прохождения военной службы
10354; Запрос сведений о нахождении гражданина в местах лишения свободы
10355; Запрос сведений о гибели военнослужащего
10356; Запрос сведений о нахождении гражданина в местах лишения свободы и об отсутствии у него заработка
10357; Запрос сведений о размере выплат пенсионерам
10359; Акт (справка, разрешение) о соответствии объекта техническим условиям в части обеспечения теплоснабжением
10360; Решение УСЗН района города Москвы
10361; Опись документов
10362; Выписка из реестра лицензий
10363; Паспорт объекта культурного наследия
10364; Экспертное заключение
10365; Характеристика
10366; Ходатайство
10367; Паспорт транспортного средства
10368; Разрешение (продление разрешения) на строительство (ДКН)
10369; Разрешение на ввод объекта в эксплуатацию (ДКН)
10370; Договор о залоге
10371; Проект информационных надписей и обозначений, устанавливаемых на объекте культурного наследия
10372; Выписка из Городского реестра недвижимого культурного наследия
10373; Фрагмент Историко-культурного опорного плана города Москвы
10374; Письмо, содержащее сведения об объектах культурного наследия
10375; Акт комиссии о приемке работ по сохранению объекта культурного наследия, выявленного объекта культурного наследия
10376; Ветеринарные сопроводительные документы
10377; Акт о присоединении
10378; Акт ввода объекта в эксплуатацию
10379; Акт приема-передачи
10380; Акт о проведении полного технического освидетельствования
10381; Акт обследования
10382; Акт о проверке работоспособности
10383; Акт о подкидывании/об оставлении ребенка
10384; Акт о назначении опекуном (попечителем)
10385; Акт об утверждении положительного заключения государственной экспертизы
10386; Акт индивидуальной независимой оценки конкретных объектов нежилого фонда
10387; Акт об утверждении границ зон охраны объекта культурного наследия, режимов использования земель и градостроительных регламентов в границах данных зон
10388; Акт органа местного самоуправления о назначении денежных средств на содержание ребенка в приемной семье, на патронатном воспитании
10389; Акт разграничения балансовой принадлежности по водопроводным вводам и схем водоснабжения
10391; Анкета
10393; Бизнес-план
10394; Бланк Сведения о потребности в работниках, наличии свободных рабочих мест (вакантных должностей)
10395; Выписка из акта освидетельствования
10396; Выписка из банковского счета
10397; Выписка из Единого реестра договоров бюджетного кредитования города Москвы
10398; Выписка из личного дела военнослужащего
10399; Выписка из приказа о зачислении в ГОУ
10400; Выписка из регистра получателей государственных услуг в сфере занятости населения
10401; Гарантийное письмо
10402; Выписка из реестра акционеров
10403; Договор на обучение
10404; Выписка из решения общего собрания членов объединения (собрания уполномоченных)
10405; Выписка из решения по учету граждан, имеющих право на получение жилищных субсидий в связи с переселением из районов Крайнего Севера и приравненных к ним местностей
10406; Грамота Верховного Совета СССР «Воину-интернационалисту»
10407; Договор хозяйственного ведения
10408; Договор оперативного управления
10409; Пояснительная записка с гарантийной записью ГИПа
10410; Решение по размещению и функционированию внутреннего инженерного оборудования и систем
10411; Заключение о техническом состоянии конструкций зданий
10412; Согласование автора проекта дома
10413; Эскиз перепланировки
10414; Штатное расписание организации
10415; Договор безвозмездного пользования нежилых помещений, находящихся в собственности города Москвы
10416; Договор водопользования
10417; Договор на размещение нестационарного торгового объекта
10418; Договор генерального подряда
10419; Исполнительный лист
10420; Договор на оказание услуг
10421; Договор доверительного управления имуществом
10422; Договор на вывоз отходов строительства, сноса и грунтов
10423; Договор на архитектурный надзор
10424; Договор о развитии застроенной территории
10425; Договор на оплату разницы в тарифах
10426; Договор реструктуризации
10427; Договор о сопровождении семьи, взявшей ребенка (детей) на воспитание
10428; Договор с организацией-получателем грунта и отходов строительства и сноса
10429; Графическое обоснование проекта колористического решения
10430; Графические материалы с обозначением места предполагаемого сброса сточных и (или) дренажных вод
10431; Графическое приложение к справке об идентификации адреса объекта капитального строительства
10432; Квалификационный лист
10433; Номенклатура продукции и товаров
10434; Опись имущества
10435; Платежные документы
10436; Паспорт прибора
10437; Квалификационный аттестат кадастрового инженера
10438; Личное дело
10439; Карта-схема предполагаемого места установки ОНРИ
10440; Медицинское заключение
10441; Разрешение на перевозку отходов строительства, сноса и грунта
10442; Разовое разрешение на въезд на особо охраняемые природные территории города Москвы
10443; Разрешение Департамента образования города Москвы или окружного управления
10444; Справка об установлении отцовства формы № 31
10445; Справка об усыновление (удочерении) формы № 30
10446; Справка о рождении формы № 25
10447; Извещение об отсутствии записи акта гражданского состояния формы № 35
10448; Справка об отсутствии факта государственной регистрации брака
10449; Решение органа опеки и попечительства об изменении фамилии и (или) имени ребенка
10450; Согласие обременителя (банка)
10451; Другой документ, подтверждающий право пользования
10452; Материалы органа технического учета и паспортизации
10453; Решения по размещению и функционированию внутреннего инженерного оборудования и систем (схемы разводок ВК)
10454; Чертежи узлов, деталей, конструктивные решения и расчеты
10455; Рабочие чертежи на производство строительных и монтажных работ
10456; Действующий СРО проектной организации
10457; Договор об авторском надзоре
10458; Справка из эксплуатирующей организации об отсутствии протечек (в случае переустройства сантехузлов)
10459; Сведения из реестра государственных нотариальных контор и контор нотариусов, занимающихся частной практикой
10460; Сведения о среднесписочной численности работников за предшествующий календарный год
10461; Декларация по налогу
10462; Декларация ЕНВД
10463; Выписка из реестра участников общества
10464; Выписка из Реестра субъектов малого и среднего предпринимательства города Москвы
10465; Разрешение на вступление в брак несовершеннолетних
10466; Решение органа местного самоуправления о выдаче парковочного разрешения
10467; Документ, подтверждающий согласование собственника на переустройство жилого помещения
10468; Запрос на получении копии документа об утверждении нормативов предельно допустимых выбросов (ПДВ) в атмосферный воздух
10469; Запрос на получении копии акта проверки
10470; Запрос на получении копии заключения государственной экологической экспертизы проектной документации
10471; Запрос на получении сведений о соответствии экологическим нормам и требованиям помещений организации, намечающей осуществление лицензируемой деятельности, связанной с производством и (или) оборотом эт
10472; Чертежи архитектурных элементов (фрагментов) фасадов и конструктивных элементов несущих и ограждающих конструкций объекта
10473; Пояснительная записка к колористическому решению фасадов
10474; Технический план здания (сооружения)
10475; Документ, подтверждающий соответствие параметров построенного, реконструированного объекта капитального строительства проектной документации
10476; Документ, подтверждающий соответствие построенного, реконструированного объекта капитального строительства требованиям технических регламентов
10477; Запрос СНИЛС по ФИО и дате рождения
10478; Схема, отображающая расположение построенного, реконструированного объекта капитального строительства
10479; Сведения о земельно-правовых отношениях
10480; Акт (справка, разрешение) о соответствии объекта техническим условиям в части обеспечения водоснабжением, канализацией
10481; Акт приемки в эксплуатацию внутриквартального коллектора по форме ГУП «Москоллектор»
10482; Акт (справка, разрешение) о соответствии техническим условиям в части обеспечения водостоком
10483; Акт приемки внутреннего газопровода (ф-8 или ф-15)
10484; Акт приемки наружного газопровода (ф-6 Мосгаз)
10485; Акт (разрешение) на присоединение электрической мощности
10486; Акт (справка, разрешение) о приемке работ по радиофикации
10487; Акт (справка, разрешение) о приемке систем телевидения
10488; Акт (справка, разрешение) по устройству городского кабельного телефонного ввода (форма МГТС)
10489; Акт (справка, разрешение) о соответствии объекта техническим условиям слаботочных систем (по перечню в соответствии с утвержденным проектом)
10490; Акт (справка, разрешение) о приемке в эксплуатацию наружного освещения
10491; Акт приемки в эксплуатацию локальных и магистральных систем безопасности объекта. Распоряжение от 27.03.2007 г. №53-Р3М
10492; Проект колористического решения
10493; Согласование времени визита в ЗАГС
10494; Техническое заключение о состоянии несущих и ограждающих конструкций и инженерных систем с указанием в графической части несущих и ненесущих элементов и инженерного оборудования
10495; Техническое заключение о состоянии деревянных перекрытий переустраиваемого и (или) перепланируемого помещения в многоквартирном доме
10496; Заключение о допустимости и безопасности работ
10497; Согласование Мосгаза
10498; Согласование ГлавАПУ (Москомархитектура)
10499; Документ, подтверждающий заключение договора обязательного страхования гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте
105; Справка о проверке жилищных условий (ЖК, ЖСК, ТСЖ, общежития)
10500; Документы, подтверждающие соответствие построенного, реконструированного объекта капитального строительства
10501; Акт приемки объекта строительства
10502; Акт приемки в эксплуатацию внутриквартального коллектора (при его наличии в зоне постройки) по форме ГУП «Москоллектор»
10503; Дизайн-проект размещения вывески
10504; Единая концепция наружного информационного оформления
10505; Фотографии предполагаемого места размещения вывески
10506; Документ, подтверждающий законное представительство ребенка-инвалида
10507; Сведения о выданном заключении о соответствии требованиям технических регламентов и проектной документации
10508; Акт технического осмотра
10509; Сведения о лицензии на право осуществления образовательной деятельности
10510; Сведения о государственной аккредитации негосударственного образовательного учреждения
10511; Мотивированный отказ по услугам МЖИ
10512; Расчет по начисленным и уплаченым страховым взносам на обязательное социальное страхование
10513; Отчет (расчет), предоставляемого лицами, добровольно вступившими в правоотношения по обязательному социальному страхованию на случай временной нетрудоспособности и в связи с материнством
10514; Запрос выписки из Единого государственного реестра прав на недвижимое имущество и сделок с ним о переходе прав на объект недвижимого имущества
10515; Агентский договор (в случае обращения агента) или доверенность на представителя
10516; Документы, подтверждающие наличие у заявителя на праве собственности или ином законном основании зданий.
10517; Проект рекламной конструкции, включающий заключение отдела подземных сооружений Государственного унитарного предприятия «Мосгоргеотрест»
10518; Заключение экспертной организации о соответствии проекта рекламной конструкции требованиям технических регламентов, строительных норм и правил (СНиП) и другим нормативным требованиям
10519; Заключение экспертной организации о соответствии проекта электроустановки конструкции требованиям технических регламентов, СНиП, ПУЭ, стандартам ЕСКД и другим нормативным требованиям
10520; Документ, подтверждающий соответствие построенного, реконструированного объекта капитального строительства техническим условиям
10521; Акт на скрытые работы
10522; Согласование маршрута транспортного средства, осуществляющего перевозки крупногабаритных и(или) тяжеловесных грузов
10523; Разрешение на перемещение по территории города Москвы пищевых продуктов животного происхождения без сопровождения ветеринарными сопроводительными документами.
10524; Свидетельство о регистрации специалиста в области ветеринарии
10525; Справка оператора связи о наличии договора на предоставление абонентского номера
10526; Карточка допуска на международное транспортное средство
10527; Документ, подтверждающий вещное право правообладателя(заявителя)
10528; Описание местоположения земельного участка, относящегося к имуществу общего пользования объединения, подготовленное садоводческим, огородническим или дачным некоммерческим объединением
10529; Копия согласия на обработку персональных данных
